seed,width,height,a,adult,c,child,b,p,max['Child'],max['Adult'],max['AdultBackpack'],max['AdultBike'],width_i,width_ii,overall_exit_time,avg_exit_time,avg_collisions_total,total_avg_occ_all_time,total_eval,no,bayes_weighted_avg_score,evaluation_metric
30,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0,0,0,62,114.99,117
31,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,81
32,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,105
33,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,90
34,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,91
35,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,90
36,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,86
37,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,103
38,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,112
39,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,110
40,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,114.99,82
41,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0,0,0,62,114.99,99
42,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,91
43,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,109
44,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,117
45,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,99
46,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,106
47,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,104
48,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,90
49,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,90
50,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,102
51,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,114.99,107
52,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0,0,0,62,114.99,102
53,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,97
54,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,92
55,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,86
56,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,110
57,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,118
58,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,106
59,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,91
60,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,83
61,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,85
62,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,114.99,86
63,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0,0,0,62,114.99,109
64,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,92
65,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,94
66,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,102
67,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,103
68,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,84
69,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,98
70,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,100
71,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,98
72,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,82
73,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,114.99,112
74,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0,0,0,62,114.99,92
75,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,119
76,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,103
77,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,107
78,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,99
79,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,99
80,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,110
81,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,80
82,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,96
83,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,116
84,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,104
85,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,85
86,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,100
87,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,84
88,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,110
89,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,101
90,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,97
91,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,104
92,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,103
93,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,114.99,85
94,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0,0,0,62,114.99,101
95,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,90
96,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,99
97,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,96
98,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,98
99,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,104
